电信福建,#genre#
福建教育,rtsp://27.148.240.181/PLTV/88888888/224/3221226227/10000100000000060000000000945282_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EjTXVNxs9BOe-uBbV577nkw%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2C10000100000000050000000000958910%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://27.148.240.138/PLTV/88888888/224/3221226884/ 1.m3u8#http://117.27.190.42:9998/tsfile/live/23292_1.m3u8#rtsp://27.148.236.129:554/live/ch17092110554866036216.sdp?FccMediaIP=239.61.2.173&FccMediaPort=9026&vcdnid=001&mediaid=ch17092110554866036216&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPemTNIjvpLLAybGQqvqya7JmsXV0%2FatXFAeNJKvmkKHlO0d8RtgP2DayASZlOpMLMaA%3D%3D
福州新闻,http://live3.setvn.com:9098/live/fz1hd_2000.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=56&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=%2FUSPKCxKZzGCm0SI2OAtrQ%3D%3D&r=20250206015104&e=20250207015104&nc=NGiLD7waro59&a=7&hlsSessionID=10821025700562780419&srchost=www.fjgd.com&gid=wOhzPFO32Tv0knle0DUeMQ%3D%3D#rtsp://27.148.240.185/PLTV/88888888/224/3221226287/10000100000000060000000001158540_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EEARIbhTQAMei3WliX8Xuvg%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745035%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#rtsp://27.148.240.189/PLTV/88888888/224/3221226287/10000100000000060000000001158540_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EEARIbhTQAMei3WliX8Xuvg%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745035%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#rtsp://27.148.240.181/PLTV/88888888/224/3221226287/10000100000000060000000001158540_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EEARIbhTQAMei3WliX8Xuvg%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745035%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
福州新闻,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福州新闻,http://117.27.190.42:9998/tsfile/live/23301_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018575987660580.sdp?FccMediaIP=239.61.2.212&FccMediaPort=9260&vcdnid=001&mediaid=ch18021018575987660580&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlsMPY83jhlTnJ8b1chaOIvU0d8RtgP2DayASZlOpMLMaA%3D%3D
福州影视,http://live.zohi.tv/video/s10001-fztv-2/index.m3u8
福州生活,http://live3.setvn.com:9098/live/fz3hd_2000.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=512&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=Mzfz10AF%2BKScvsIl69qLUw%3D%3D&r=20250206015115&e=20250207015115&nc=Dwtn3YsqQrMk&a=7&hlsSessionID=10821025700562780437&srchost=www.fjgd.com&gid=CCfu7vTobRkklJv61Z2t1w%3D%3D
福州生活,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福州少儿,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
福州慢直播频道,http://live.zohi.tv/video/s10001-camera1/index.m3u8
福州长乐综合,https://play-hwgy.vzan.com/slowlive/929856430577299580/live.m3u8?vzsign=6305b4a544bc74caf5da7cc4b764bb7a&uid=0&uuid=1024b34f293040dda73b9f32f1022cbc&vzsign2=f49a54c1529e7574f5724b3a7b4029f5&up=3251c6ebf0f0d650424d62c9f02d9814#https://play-hwgy.vzan.com/slowlive/929856430577299580/live.m3u8?vzsign=a7c0d55c0efbb6447f502efff92a93a7&uid=0&uuid=db61022a39c34abd81310fccdff42b1d&vzsign2=0b3649d6dcbc5b305f35766b7261bd11&up=3251c6ebf0f0d650de6f961837b45bb4#https://play-hwgy.vzan.com/slowlive/929856430577299580/live.m3u8
EZTV6歐洲華文電視 福州頻道,http://ohlive.eztv.vip/live/ctvsnew.m3u8
平潭新闻,http://live4.setvn.com:9097/live/ptan1_1200.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=10&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=feesqmOz%2FrGk0wRNTUhewA%3D%3D&r=20250206015258&e=20250207015258&nc=SpADAAPsOFXu&a=7&hlsSessionID=10821025700562780535&srchost=www.fjgd.com&gid=q2uHoMa5fy9w2uvWk%2BWUzg%3D%3D#http://117.27.190.42:9998/tsfile/live/23299_1.m3u8#rtsp://27.148.236.129:554/live/ch18111517242607846812.sdp?FccMediaIP=239.61.2.230&FccMediaPort=9368&vcdnid=001&mediaid=ch18111517242607846812&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPeqFQ1269FXwb1zGLQ6%2B3V88NAkdLtZBiBcC%2BVwjAV9t40d8RtgP2DayASZlOpMLMaA%3D%3D
平潭新闻,rtsp://27.148.240.185/PLTV/88888888/224/3221226336/10000100000000060000000001305338_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EViAbapYaP5OTJ_ewhC0INQ%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3874883%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
平潭新闻,rtsp://27.148.240.181/PLTV/88888888/224/3221226336/10000100000000060000000001305338_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EViAbapYaP5OTJ_ewhC0INQ%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3874883%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
平潭新闻,rtsp://27.148.240.189/PLTV/88888888/224/3221226336/10000100000000060000000001305338_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EViAbapYaP5OTJ_ewhC0INQ%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3874883%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
厦门新闻,http://live3.setvn.com:9098/live/xm1hd_2000.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=570&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=LY5WO7UIZmdCorHe3bk%2FrA%3D%3D&r=20250206015127&e=20250207015127&nc=PkJGkmqvCdsQ&a=7&hlsSessionID=10821025700562780447&srchost=www.fjgd.com&gid=gvHDARAJzM3q2qu4iM049Q%3D%3D
